[Aug 9 15:44:20] 
[Aug 9 15:44:20] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.13==
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/validate-noresult.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/validate-area.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-supported-engine.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-case-sensitive-tables.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-host-name.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-prefix-too-long.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-affected-tables.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-visibility.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-connection.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-gtid-mode.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-supported-charset.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-user-cleanup.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-manual-tables-count.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-user-resources.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-multiple-wp-installs.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-user-perms.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-supported-default-charset.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-triggers.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-case-sensitive-duplicates.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-version-swarn.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-cleanup.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-create.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-show-variables.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/database-tests/db-version.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/parts/validation/validation-category.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/page-exception.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/page-step4.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/page-help.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/page-header.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/terms-and-conditions.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/actions/next.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/actions/hwarn-accept.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/actions/error.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/actions/switch-template.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/actions/validate.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/options.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/base-setup.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/info-tabs/general.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/info-tabs/overviews/type-single-site.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/info-tabs/overviews/restore-backup.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/info-tabs/overview-description.php >>> /home/ascania/ascania-cs.com.ua/www
[Aug 9 15:44:20] Success: dup-installer/templates/default/pages-parts/step1/info-tabs/archive.php >>> /home/ascania/ascania-cs.com.ua/www
